date,point
2022/01/05,-1.0
2022/02/04,1.0
2022/02/10,-1.0
2022/02/14,0.0
2022/03/07,-1.0
2022/03/21,-1.0
2022/04/07,-1.0
2022/04/19,-0.33
2022/04/20,-1.0
2022/05/05,-1.0
2022/05/20,-1.0
2022/06/02,0.0
2022/06/23,0.0
2022/07/06,1.0
2022/07/17,0.0
2022/07/19,0.0
2022/07/20,1.0
2022/07/22,0.0
2022/08/08,-1.0
2022/09/07,1.0
2022/09/16,1.0
2022/09/22,0.0
2022/10/05,0.0
2022/10/20,-1.0
2022/10/21,-1.0
2022/10/31,-1.0
2022/11/07,0.0
2022/11/14,0.0
2022/12/05,-1.0
2023/01/06,-1.0
2023/02/07,-1.0
2023/02/21,-0.33
2023/03/01,-1.0
2023/03/02,1.0
2023/03/07,-1.0
2023/04/07,-1.0
2023/04/14,-1.0
2023/04/27,0.0
2023/05/08,0.0
2023/05/19,-1.0
2023/06/07,-1.0
