date,title, Y/N
2023/01/04,〈星展經濟展望〉台積電赴美投資免驚 看好我半導體5年內維持強大競爭力,#yes
2023/01/04,大立光法說會強碰台積電 法人關注新產品開發及車用市場布局,#unknown
2023/01/04,美股盤前：FOMC會議紀錄公布在即、台積電遭華爾街降評、航空業全面復甦!,#unknown
2023/01/06,【鉅亨研報】 英特爾重回GPU戰場 AMD傳確定與台積電3奈米製程合作,#yes
2023/01/06,【鉅亨研報】 英特爾重回GPU戰場 AMD傳確定與台積電3奈米製程合作,#no
2023/01/06,【鉅亨研報】 英特爾重回GPU戰場 AMD傳確定與台積電3奈米製程合作,#unknown
2023/01/06,【鉅亨研報】 英特爾重回GPU戰場 AMD傳確定與台積電3奈米製程合作,#yes
2023/01/08,台積電&大立光法說、鴻海等大廠尾牙、國安基金例會 本周大事預告,#unknown
2023/01/09,台積電大漲下的選股策略!有富爸爸加持的兩大潛力股為何?,#no
2023/01/10,【新台股龍捲風】半信半疑中成長 接下來看CPI和台積電法說,#unknown
2023/01/10,台積電去年12月營收跌破2000億元 全年2.26兆元再創新高,#no
2023/01/11,【新台股龍捲風】台積電法說+CPI會讓指數震盪 轉機股5321美而快，2358廷鑫漲停,#unknown
2023/01/11,市場聚焦台積電法說!萬五大關指日可待，三題材強勢股在哪?值得你追蹤!,#unknown
2023/01/11,台積電熄火、金融塑化有壓 台股量縮跌51點收14751點,#no
2023/01/11,魏哲家連3個月加碼台積電股票 共買進467張,#yes
2023/01/11,〈台股盤中〉台積電、金融股壓盤 開高走低翻黑,#unknown
2023/01/12,〈台積電法說〉ADR早盤逆勢勁揚 一度大漲超過5%,#yes
2023/01/12,〈台積電法說〉今年營收續拚成長、3奈米滿載生產  一文看懂九大重點,#yes
2023/01/12,〈台積電法說〉魏哲家：考慮日本興建第二座廠 評估歐洲建廠的可能,#unknown
2023/01/12,〈台積電法說〉今年3奈米滿載生產 營收占比達4-6%,#yes
2023/01/12,〈台積電法說〉Q1營收估季減約14% 符合市場預期,#unknown
2023/01/12,台積電法說重點在哪裡?美股晚上公佈CPI數據，該如何解讀?一次告訴你!,#unknown
2023/01/12,台積電、聯發科、環球晶、中美晶，大型電子股的嚴重低估！,#yes
2023/01/12,〈台積電法說〉上半年美元營收下滑4-9%、下半年回溫 全年微幅成長優於產業平均,#no
2023/01/12,〈台積電法說〉今年資本支出估320-360億美元 持平去年至縮減約1成,#unknown
2023/01/12,〈台積電法說〉Q4雙率超標 每股賺11.41元再創高 去年每天開門賺進27.8億元,#yes
2023/01/13,台積電法說會後外資力挺 大舉敲進近5萬張,#yes
2023/01/13,台積電法說帶動大盤，紅包行情續強，年前布局年後收穫,#yes
2023/01/13,〈台股盤後〉權王台積電帶頭衝 漲近百點周線連二紅,#yes
2023/01/13,【鉅亨研報】 台積電法說報喜 下半年半導體V型復甦,#yes
2023/01/13,〈焦點股〉台積電今年3奈米滿載 供應鏈上漲表態,#unknown
2023/01/13,〈台股盤中〉台積電領軍多頭反攻 光電扯後腿 大盤叩關萬五無功而返,#no
2023/01/13,外資推測半導體Q2觸底 現在可能是「買入台積電」好時機,#yes
2023/01/13,〈台股盤前要聞〉台積電今年美元營收估微增、大立光營收恐下滑 今日必看財經新聞,#unknown
2023/01/16,外資連三天加碼台積電共逾7萬張 大舉敲進金融股,#yes
2023/01/16,台積電再被按讚 台股漲逾百點、衝上14900點,#unknown
2023/01/19,今年全球晶圓代工銷售將下滑 台積電、三星恐受影響,#yes
2023/01/19,今年全球晶圓代工銷售將下滑 台積電、三星恐受影響,#no
2023/01/19,今年全球晶圓代工銷售將下滑 台積電、三星恐受影響,#unknown
2023/01/19,今年全球晶圓代工銷售將下滑 台積電、三星恐受影響,#no
2023/01/30,6檔「高含積量」ETF狂飆！這檔持股台積電逼近6成 股價大漲5.8%居冠,#no
2023/01/30,台積電金兔年開紅盤飆漲逾7% 市值重返14兆元,#no
2023/01/31,台積電推碳盤查工作坊 溫室氣體盤查列一階供應商必修課,#no
2023/01/31,外資反手減碼台積電1.3萬張 持續敲進面板雙虎,#no
2023/01/31,韓媒：台積電、蘋果、Sony緊密合作 南韓在半導體價值鏈角色不明,#yes
