date,title, Y/N
2022/07/01,台積電市值跌破12兆元 本周蒸發8557億元,#no
2022/07/02,〈熱門股〉外資出走連日破底 台積電探近20個月新低價,#no
2022/07/03,〈觀察〉晶片法案遭共和黨大老揚言阻擋 台積電、環球晶美國建廠再添變數,#no
2022/07/03,台積電市值失守4000億美元大關 跌至全球第十三大,#no
2022/07/03,台積電遭蘋果砍單？郭明錤：目前沒有任何跡象,#unknown
2022/07/04,外資連五賣台積電 累計賣超突破3萬張,#no
2022/07/04,寶山擴建持續溝通 竹科：暫不影響台積電2奈米廠,#unknown
2022/07/05,7/5盤前提醒：台積電重挫低拖累指數破底、股王將換人做？鴻海營收驚豔，盤勢重點和操作提醒,#unknown
2022/07/06,大立光法說會強碰台積電 法人關注三大重點,#yes
2022/07/08,高雄吸引半導體人才落地 台積電等4大廠徵才打頭陣,#yes
2022/07/08,台積電營收優於財測高標，料Q3展望將成市場焦點,#yes
2022/07/08,台積電6月營收1758億元寫次高 Q2首破5000億元創新高,#yes
2022/07/12,市府駁楠梓產業園區水汙疑慮 台積電高雄廠2024年量產時程不變,#unknown
2022/07/13,權王台積電繳稅550億元蟬聯冠軍 陽明270億元躍居亞軍,#yes
2022/07/13,台積電法說前夕外資認錯回補 連七買寫近10個月最長紀錄,#yes
2022/07/14,〈台積電法說〉財測亮眼上調今年營收展望 ADR早盤逆勢勁揚逾1%,#yes
2022/07/14,台積電法說前外資終止連7買 台指期轉空,#no
2022/07/14,〈台積電法說〉劉德音：美國新廠持續爭取補助 沒有合資設廠計畫,#unknown
2022/07/14,〈台積電法說〉魏哲家：半導體庫存修正估延續至明年上半年,#unknown
2022/07/14,〈台積電法說〉設備交期拉長部分金額遞延 今年資本支出估近400億美元,#unknown
2022/07/14,〈台積電法說〉Q3營收估季增11% 毛利率上看59.5%續朝6成叩關,#yes
2022/07/14,〈台積電法說〉上調今年美元營收成長預估 飛越3成估達34-36%,#yes
2022/07/14,〈台積電法說〉Q2毛利率逼近6成 EPS 9.14元再創高 上半年每股賺16.96元,#yes
2022/07/14,美CPI飆新高， Fed 7月將升4碼？今天下午還有台積電法說會，利空測試待鈍化，觀盤重點和操作方向,#unknown
2022/07/15,看好前景買股力挺 台積電8位副總級主管6月持續加碼,#yes
2022/07/15,〈台股盤後〉台積電、大立光衝鋒指數飆漲112點 周線收紅,#yes
2022/07/15,台積電法說消弭雜音 外資按讚平均目標價超過700元,#yes
2022/07/15,彭博：台積電打了一劑價值400億美元的抗通膨疫苗,#yes
2022/07/15,台積電一個人的武林 一文看懂法說會重點,#unknown
2022/07/15,〈台股盤中〉台積電領軍半導體族群衝 收復14500點,#yes
2022/07/15,7/15盤前提醒：國安基金、台積電穩信心，看大做小，布局Q3新一波認養/作帳行情,#unknown
2022/07/15,〈台股盤前〉台積電報喜+金管會救市 大盤可望續彈向月線靠攏,#yes
2022/07/18,台積電今年第三度發綠債 總金額新台幣139億元,#yes
2022/07/18,首季先進製程手機晶片組市占 三星稱霸、台積電占4成,#yes
2022/07/19,升息+台積電發債降 上半年募資年減超過千億元,#no
2022/07/19,台積電擬再發美元債 穆迪給Aa3評級估今年營收衝破2兆元,#yes
2022/07/19,〈台股盤前要聞〉矽晶圓市況降溫、福斯結盟台積電 今日必看財經新聞,#yes
2022/07/20,台積電10億美元公司債完成定價,#yes
2022/07/21,中芯悄悄出貨7奈米晶片 研調斷言可能抄襲台積電,#unknown
2022/07/22,台積電回神 市值重返13兆元大關,#yes
2022/07/25,〈聯發科投片英特爾〉英特爾來勢洶洶一舉搶下第三大客戶 台積電警戒,#yes
2022/07/25,台積電、聯電傳將赴印度考察 評估設廠可能,#yes
2022/07/26,7/26盤前提醒：萬五關卡操作重點？聯發科找Intel下單不利台積電？買台積電不如買受惠股？,#unknown
2022/07/29,〈台積電ESG〉發起營業秘密註冊制度同學會 9家廠商響應,#unknown
2022/07/29,〈台積電ESG〉強化供應鏈穩定性 打造供應商新建廠安全管理系統,#yes
