date,title, Y/N
2022/02/02,〈觀察〉台積電一手扶植本土化學品供應鏈 傳英特爾有意來取經,#no
2022/02/05,〈虎年景氣展望前瞻〉台積電3奈米罕見兩地量產 耗材供應鏈營運吞補丸,#no
2022/02/05,英特爾力拼超車台積電 專家直指企業文化轉型難題,#no
2022/02/06,金虎年開紅盤、台積電1月營收、電子科技廠法說 本周大事預告,#no
2022/02/07,新舊勞退基金都愛護國神山 去年底持股台積電比重皆逾2成,#no
2022/02/07,大摩認錯翻多喊買台積電 三大優勢2024年營運將海闊天空,#yes
2022/02/08,〈英特爾拚晶圓代工〉從各面向卯足全力衝刺 步步進逼台積電意圖濃厚,#no
2022/02/08,〈英特爾拚晶圓代工〉仿效台積電組生態系 台IP三雄笑納新成長曲線,#yes
2022/02/08,權王開年市值掉2000億元 劉坤錫喊今年選大盤不如選台積電,#yes
2022/02/08,〈台股盤前要聞〉大摩喊買台積電、永豐實衛生紙漲價 今日必看財經新聞,#no
2022/02/09,〈台股盤中〉台積電領電子股表態+航運續強 指數連過兩關,#yes
2022/02/10,漲價效益發威 台積電1月營收1721億元 續締新猷,#no
2022/02/11,〈台股盤前要聞〉NAND看漲助攻台模組廠、台積電1月營收創高 今日必看財經新聞,#no
2022/02/12,台積電元月營收創高、台出口報佳績、俄烏情勢升溫 本周大事回顧,#yes
2022/02/12,台積電元月營收創高、台出口報佳績、俄烏情勢升溫 本周大事回顧,#unknown
2022/02/12,台積電元月營收創高、台出口報佳績、俄烏情勢升溫 本周大事回顧,#no
2022/02/14,台積電擴廠有譜 政院核定中科台中園區擴建2期籌設計畫,#no
2022/02/14,英特爾擴大投資追趕台積電 陸行之：不如來台設廠降成本,#yes
2022/02/15,〈台積電董事會〉明起買回自家股票1387張 每股價格444至960元,#yes
2022/02/15,〈台積電董事會〉去年Q4盈餘擬配息2.75元 再發32.6億美元內公司債,#yes
2022/02/15,〈台積電董事會〉去年員工分紅總額逾712億元 創新高,#no
2022/02/15,台積電熊本廠將新增製程與產能 Denso取得逾10%股權,#no
2022/02/15,日經：台積電亞利桑那新廠的設備遷入將延後3至6個月,#no
2022/02/15,台積電首開政治學博士職缺 研究美中台關係、分析政治經濟,#no
2022/02/15,〈專利排行榜出爐〉台積電申請數連六年奪冠 鴻海退出前十大,#yes
2022/02/15,日媒：汽車零件大廠DENSO將參與台積電熊本廠投資計畫,#yes
2022/02/16,〈台股盤後〉「烏」雲散去 台積電領漲收復萬八,#yes
2022/02/16,亞利桑那州廠傳進度延宕 台積電重申生產時程不變,#no
2022/02/16,〈觀察〉地緣政治盤根錯節 台積電處衝突前線成最大課題,#no
2022/02/17,高通棄三星重回台積電4奈米懷抱 新旗艦晶片可望提前出貨,#no
2022/02/18,台積電已投入超過3億元 買回522張股票,#no
2022/02/18,〈英特爾拚晶圓代工〉宣示2025年重回領先地位 PK台積電,#no
2022/02/19,俄烏情勢再升溫、台積電董事會、英特爾買高塔 本周大事回顧,#no
2022/02/19,俄烏情勢再升溫、台積電董事會、英特爾買高塔 本周大事回顧,#no
2022/02/20,台積電超車輝達登半導體市值王 躍居全球第八大,#no
2022/02/21,蘋果擴大自研晶片 台積電大啖蘋單,#no
2022/02/21,〈台股盤前要聞〉CDMO台廠迎國際藥廠轉單、台積電市值超車輝達 今日必看財經新聞,#no
2022/02/22,爭奪台積電5奈米產能 輝達已支付逾百億美元預付款,#no
2022/02/23,台積電已斥近6.6億元 買回1041張股票,#no
2022/02/23,高通繼4奈米棄守三星後 傳3奈米AP只找台積電,#yes
2022/02/23,高通繼4奈米棄守三星後 傳3奈米AP只找台積電,#no
2022/02/23,高通繼4奈米棄守三星後 傳3奈米AP只找台積電,#no
2022/02/23,高通繼4奈米棄守三星後 傳3奈米AP只找台積電,#no
2022/02/23,高通繼4奈米棄守三星後 傳3奈米AP只找台積電,#no
2022/02/24,〈俄烏衝突〉台積電回測600元 單日市值蒸發逾5445億元、跌破16兆元,#no
2022/02/24,〈百大創新機構〉台積電、聯發科重返百大 四企業首入榜,#yes
2022/02/25,台積電股份買回計劃執行完畢 共斥8.71億元,#no
2022/02/26,〈熱門股〉外資大舉提款 台積電回測年線單周市值蒸發逾8557億元,#no
2022/02/27,台積電研發大將：半導體短缺情況2-3年後才能解決,#no
2022/02/27,台積電研發大將：半導體短缺情況2-3年後才能解決,#no
