date,title, Y/N
2023/06/01,南科發生壓降 台積電預期不影響營運、聯電部分晶圓報廢,#no
2023/06/02,黃仁勳：輝達下一代晶片仍由台積電生產,#no
2023/06/04,台積電等大廠股東會、台塑四寶營收、新光金改選 本周大事預告,#unknown
2023/06/04,台積電等大廠股東會、台塑四寶營收、新光金改選 本周大事預告,#no
2023/06/06,〈台積電股東會〉談蘋果AR新品 劉德音：令人振奮有更多期許空間,#no
2023/06/06,〈台積電股東會〉劉德音：2奈米比1.8奈米好很多,#yes
2023/06/06,〈台積電股東會〉日本第二座廠評估中 德國廠有客戶盼能合資,#no
2023/06/06,〈台積電股東會〉談地緣政治緊張局勢 劉德音：台灣半導體有穩定作用,#no
2023/06/06,〈台積電股東會〉綠電供應量少 劉德音籲政府重新審視發展政策,#no
2023/06/06,〈台股盤中〉台積電穩盤 最高衝16793點創一年來新高,#no
2023/06/06,〈台積電股東會〉生成式AI訂單湧 先進封裝產能供不應求 加速擴產中,#no
2023/06/06,〈台積電股東會〉劉德音：前景十分光明 已準備好迎接下波很好的成長,#yes
2023/06/07,台積電憂台灣綠電不足 經長：未來離岸風電電力全賣給企業,#no
2023/06/07,〈台股盤前要聞〉台積電迎下波成長、被動元件恐再調整兩季 今日必看財經新聞,#no
2023/06/08,台積電先進封測六廠啟用 為首座3DFabric全方位自動化廠,#yes
2023/06/09,客戶拉貨力道回升 台積電5月營收月增2成達1765億元,#no
2023/06/10,蘋果推Vision Pro、新光金經營權之爭、台積電看多AI需求 本周大事回顧,#no
2023/06/11,台積電除息、緯創&廣達股東會、聯準會決策 本周大事預告,#no
2023/06/12,外資鎖定長榮航及權值股台積電、鴻海 各買超逾萬張,#no
2023/06/12,前十大晶圓代工廠Q1營收季減近2成 台積電市占率衝破6成,#no
2023/06/12,〈台股盤後〉權值股台積電、鴻海力挺多頭 漲68點收16955點 一度兵臨萬七城下,#no
2023/06/13,外資掃貨電子股及ETF 大買台積電3.42萬張,#no
2023/06/13,台積電跳空攀14個月新高價 市值衝破15兆元,#no
2023/06/13,輝達助攻+外資點讚 台積電ADR飆升逾4%,#no
2023/06/14,台積電等15檔個股6/15除息 指數估將蒸發31.65點,#no
2023/06/14,台積電等15檔個股6/15除息 指數估將蒸發31.65點,#no
2023/06/14,【量大強漲股整理】通膨趨緩，聯準會可望暫停升息!台積電除息影響台股短線走勢!,#no
2023/06/14,〈台股盤前要聞〉外資力挺台股登萬七、台積電市值衝破15兆元 今日必看財經新聞,#no
2023/06/15,台積電繳稅千億蟬聯大戶冠軍 陽明居次,#no
2023/06/15,台積電除息大秀登場 再上演秒填息完封,#no
2023/06/16,台積電受惠先進製程漲價 研調估明年營收可望跳增22.5%,#no
2023/06/17,台積電技術論壇中國場21日登場 魏哲家帶隊出席,#no
2023/06/18,台積電美籍工程師薪水高一截、不用值夜班還抱怨！美國建廠進度落後 ...劉德音祭秘密武器,#no
2023/06/20,台積電赴美設廠增資35億美元 我前5月對外投資金額大增近2倍,#no
2023/06/28,劍指台積電 三星積極提高晶圓代工產能、強化先進製程布局,#no
2023/06/29,增派員工加速亞利桑那州廠進度 台積電：工程進入關鍵階段,#yes
2023/06/29,日經：台積電從台灣加派數百名員工赴美 加速亞利桑那廠進度,#no
2023/06/30,〈台積電ESG〉去年全球員工薪酬中位數233萬元 較前一年增加27萬元,#no
2023/06/30,傳遭駭客勒索 台積電：為IT硬體供應商、不影響生產營運,#no
2023/06/30,台積電拉尾盤 跌26點收16915點 周K連二黑,#no
