date,title, Y/N
2022/05/05,上市櫃公司去年營業利益突破2兆元大關 台積電居首,#yes
2022/05/08,台積電營收、鴻海法說、4月進出口統計 本周大事預告,#unknown
2022/05/09,外資主要賣超金控股 提款台積電近44億元,#no
2022/05/09,規模6.1地震 台積電、聯電生產未受影響,#yes
2022/05/10,台積電通知客戶 明年晶圓代工再漲價約6%,#no
2022/05/10,〈台積電董事會〉啟動全球員工購股計畫 提供15%補助金,#yes
2022/05/10,台積電4月營收1725.61億元 月增0.3% 再創新高,#yes
2022/05/11,台積電今年二度發綠債 總金額61億元,#yes
2022/05/11,台積電Q1配息持平 傳明年Q1全面調漲報價,#unknown
2022/05/14,台積電再漲價、央行第5波打炒房、科技大廠法說 本周大事回顧,#yes
2022/05/17,美系外資喊多台積電 目標價衝上912元,#yes
2022/05/19,〈崇越法說〉配合台積電新設日本子公司 預告將前往馬來西亞設點,#unknown
2022/05/20,傳評估新加坡設廠 台積電：目前沒有具體計畫,#unknown
2022/05/21,〈熱門股〉台積電市值單周增近5000億元 周K終止連六黑,#yes
2022/05/24,〈台北國際電腦展〉恩智浦採台積電5奈米製程 打造新一代車用處理器,#yes
2022/05/26,〈采鈺轉上市〉台積電：對采鈺有更高期待 目前沒有進一步釋股規劃,#yes
2022/05/30,台積電單日市值激增4400億元 重返14兆元大關,#yes
2022/05/30,〈台股盤中〉台積電、聯發科帶頭衝 台股強漲站回16500點,#yes
2022/05/31,台積電全球專利申請數逾7.5萬件 國內連六年居冠,#yes
2022/05/31,台積電改裝無塵室外氣空調箱 節電1.49億度,#yes
