date,title, Y/N
2023/02/01,新制勞退、勞保基金除了台積電 也愛這3檔金融股,#no
2023/02/03,台積電推大學FinFET專案 開放學界使用製程設計套件,#no
2023/02/05,台積電、台塑四寶營收 友達等大廠法說 本周大事預告,#no
2023/02/06,國研院半導體中心攜手台積電 引入訓練套件、7奈米晶片製作服務,#no
2023/02/06,〈美股13F報告〉美第三大退休基金Q4減碼台積電、阿里巴巴ADR,#no
2023/02/07,【產業概觀】CDMO是什麼？類似台積電晶圓代工模式，有望讓生技成為下個護國產業！,#yes
2023/02/08,台積電2奈米廠有譜 中科二期擴建環評過關,#yes
2023/02/08,砸重金當台積電、三星鄰居 設備供應商盼近水樓台先「得訂單」,#unknown
2023/02/09,外資調節金融族群 反手買超台積電、鴻海等電子指標股,#no
2023/02/10,美股盤前：台積電1月營收重回2000億! SpaceX有望在今年正盈收!,#no
2023/02/10,〈專利排行榜出爐〉台積電申請數連七年奪冠 群創首入列前十成黑馬,#no
2023/02/10,台積電1月營收2000.5億元 月增3.9%創歷年同期新高,#no
2023/02/10,台積電早盤衝上546元 創去年6月以來新高價,#no
2023/02/10,分析師列20檔AI潛力股 台積電ADR有望漲66%,#no
2023/02/14,〈台積電董事會〉去年Q4維持配息2.75元 6/15除息 再發600億元公司債,#no
2023/02/14,〈台積電董事會〉核准2023年限制員工權利新股 大增近2倍,#yes
2023/02/14,〈台積電董事會〉去年員工分紅總額逾1214億元 大增7成 每人平均分得186萬元,#no
2023/02/14,【量大強漲股整理】~看透13F報告持股明細!教你如何看穿股神巴菲特的想法!台積電後市如何解讀?,#no
2023/02/14,傳谷歌資料中心晶片研發取得進展 明年下半年由台積電量產,#no
2023/02/15,外資大舉提款台積電42億元 聯手內資敲進面板雙虎近6萬張,#no
2023/02/15,【量大強漲股整理】~巴菲特少賺20%!這情形出現你可以逢低買進?台積電回歸基本面!,#no
2023/02/15,〈美股13F報告〉波克夏Q4重砍台積電ADR和這兩檔金融股 加碼蘋果,#no
2023/02/15,〈台股盤前要聞〉台積電去年分紅破千億、鴻海擴大越南產能 今日必看財經新聞,#no
2023/02/16,【量大強漲股整理】~這個指標出現領先大漲，台股後市將轉強?果然台積電休息，對台股不是壞事，中小型股全面上漲!,#no
2023/02/16,〈台股盤前〉台積電ADR收盤又跌 大盤將以中小型個股表現力撑,#no
2023/02/18,台積電董事會、科技大廠法說、美CPI高預期 本周大事回顧,#no
2023/02/20,外資買超前10名包辦6檔金融股 群創轉向遭賣、台積電連2砍,#unknown
2023/02/20,外資買超前10名包辦6檔金融股 群創轉向遭賣、台積電連2砍,#no
2023/02/21,南科總量管制節水10% 台積電：對營運無實質影響,#no
2023/02/22,【量大強漲股整理】台股加權指數重要支撐價在哪裡？這些族群如預期，繼續擔當主流！台積電怎麼解讀？,#no
2023/02/22,台積電跌10元 金融指跌破月線 台股重挫200點,#no
2023/02/22,英特爾傳推遲台積電3奈米訂單 Arrow Lake GPU明年Q4才生產,#no
2023/02/23,美國擴廠傳員工質疑聲浪 台積電：成本差異都在規劃考量中,#no
2023/02/23,〈台股盤後〉台積電吹反攻號角 電子、航運點火返月線,#no
2023/02/23,美媒：台積電美國擴廠成本是台灣至少四倍高 員工質疑聲起,#no
2023/02/24,〈台積電ESG〉強化董事會職能 高階經理人傳承計畫納入審查責任,#no
2023/02/24,〈台積電ESG〉攜手供應商以磷肥廢料替代螢石 打造綠色氫氟酸,#no
2023/02/24,傳斥1兆日元在日建第二座廠 台積電重申考慮中,#no
2023/02/24,日媒：台積電日本第二座晶圓廠 投資規模超過1兆日元,#no
