date,title, Y/N
2023/05/03,〈台股盤後〉台積電、航運股下挫 下跌83點收15553點 再度失守季線,#no
2023/05/04,彭博：台積電擬在德國設合資廠 總額高達100億歐元,#yes
2023/05/05,外資領完台積電股利先走一波！央行：4月淨匯出逾20億美元,#no
2023/05/05,彭博：加入巴菲特行列 這檔一流基金也對台積電有疑慮,#no
2023/05/05,美情報總監：若兩岸開戰台積電停產 全球經濟恐年損1兆美元,#no
2023/05/07,鴻海法說、台積電技術論壇、進出口統計 本周大事預告,#no
2023/05/09,台積電董事會拍板Q1股利 季配息水準提升至3元,#no
2023/05/09,伺服器今年仍有旺季機會? 專家觀點：AI興起與台積電法說間接證實升級時間,#yes
2023/05/10,台積電4月營收月增年減 全年配息有望挑戰12元,#no
2023/05/10,存股族哭哭？台積電提高配息反跌？專家：快速填息是必然，但要小心這件事,#no
2023/05/10,存股族哭哭？台積電提高配息反跌？專家：快速填息是必然，但要小心這件事,#no
2023/05/10,【量大強漲股整理】台積電下跌的原因?技術面這一點看出台股將突破盤局?,#no
2023/05/10,台積電4月營收1479億元 月增1.7% 累計6565億元轉衰,#no
2023/05/10,〈台股盤前要聞〉台積電季配息增至3元、金控配息總額創9年低 今日必看財經新聞,#no
2023/05/11,〈台積技術論壇〉談與客戶間的關鍵字 魏哲家：只有台積電能無私合作,#no
2023/05/12,〈台股盤前要聞〉台積電3奈米良率領先、鴻海Q1業外大虧 今日必看財經新聞,#no
2023/05/13,台積電3奈米良率佳、鴻海Q1業外大虧、H1進出口年減雙位數 本周大事回顧,#no
2023/05/15,〈台股盤中〉靠老帥台積電難獨撑大局 多頭力道弱向上空間小,#no
2023/05/16,【量大強漲股整理】誰大買39萬張台積電?台股潛在五大利多告訴你!,#no
2023/05/16,台積電重返500元大關收復月線 市值回升至13兆元,#no
2023/05/17,是德科技加入台積電3DFabric聯盟 開發EDA軟體,#no
2023/05/17,岸田文雄傳邀半導體廠會談 台積電證實劉德音受邀,#no
2023/05/17,岸田文雄傳邀半導體廠會談 台積電證實劉德音受邀,#no
2023/05/17,〈台股盤前要聞〉台股大漲近200點、台積電重返500元大關 今日必看財經新聞,#no
2023/05/18,零壹、星通、神準、資通！台積電帶動電子股重回焦點！,#yes
2023/05/18,台股衝11個月新高 外資、自營商斥126億元加碼台積電,#no
2023/05/18,台積電劉德音：將持續投資日本 加強與當地半導體夥伴合作,#yes
2023/05/18,〈台股盤中〉台積電續強領軍漲逾百點 睽違11個月重返萬六大關,#no
2023/05/18,〈台股盤前要聞〉台股放量續漲外資力挺、台積電受邀與日相會談 今日必看財經新聞,#no
2023/05/20,台積電布局日本、三金控法說、美股13F報告 本周大事回顧,#no
2023/05/23,台積電再發債200億元 擴建廠房設備,#no
2023/05/23,應材投資建立研發中心 台積電、英特爾等夥伴力挺,#yes
2023/05/24,不甩巴菲特賣光 國發基金握台積電16億股「抱緊處理」,#no
2023/05/25,輝達股價飆漲 帶動ASML和台積電同步走升,#no
2023/05/25,外資大舉敲進台積電4.2萬張 連四賣聯電逾6萬張,#no
2023/05/25,輝達成台股新救世主 預期台積電H2接單旺,#yes
2023/05/26,台股爆量奔近一年高 外資砸391億元狂掃台積電,#no
2023/05/26,〈台股盤中〉輝達概念股按讚 台積電、欣興領軍大漲逾200點,#no
2023/05/26,彭博：台積電洽商赴德設廠補助 爭取最高50%補貼比率,#no
2023/05/29,Arm推全新整合平台 第四代核心完成台積電3奈米設計定案,#no
