date,title, Y/N
2022/09/01,〈美禁高階晶片輸中〉輝達、超微為大客戶 台積電及載板三雄同受波及,#no
2022/09/02,外資提款台股146億元 台積電、金融股成標的,#yes
2022/09/03,美禁高階晶片輸中、台積電3奈米將量產、基本工資調漲 本周大事回顧,#unknown
2022/09/03,〈熱門股〉台積電500元大關得而復失 單周一舉跌破月季線,#no
2022/09/06,傳台積電將關閉4台EUV 外資：預先規劃的設備升級,#no
2022/09/06,台積電帶頭衝 台股反彈早盤一度漲逾百點,#yes
2022/09/07,先進製程頻傳遭砍單 台積電重申「前景展望不變」,#no
2022/09/07,台幣續貶助長假利空，壓台積電、晶睿、玉晶光、美律、智原、晶呈科抗跌！,#no
2022/09/07,台積電子公司JASM：建廠進度順利 明春迎百名應屆畢業生,#yes
2022/09/07,〈台股盤前要聞〉台積電傳關閉部分EUV、防疫雙險理賠破800億 今日必看財經新聞,#no
2022/09/08,外資賣超台積電34.59億元 敲進航空雙雄逾2萬張,#no
2022/09/08,劉德音：台積電要買很多綠電 盼政府多推動綠能,#yes
2022/09/08,蘋果新機拉貨 台積電8月營收衝上2181億元 月增16.8%再飆新高,#yes
2022/09/09,英女王病逝、台積電傳關EUV、蘋果新手機亮相 本周大事回顧,#unknown
2022/09/12,台積電營運亮眼 龔明鑫：國發基金身為股東與有榮焉,#yes
2022/09/12,台積電為台股撐腰 概念股怎麼看？,#yes
2022/09/13,京鼎、漢唐、帆宣、閎康，台積電超強的連帶受惠股！,#yes
2022/09/14,〈2022半導體展〉張淑芬：台積電不只缺高階人才 也需要各類人才,#unknown
2022/09/14,台積電等3檔個股9/15除息 指數估蒸發23.24點,#yes
2022/09/14,日經：蘋果新研發處理器 傳明年採用台積電N3E製程技術,#yes
2022/09/14,美股重挫，台股如何因應？台積電明除息，股東人數再創歷史新高，如何不賺股息賠差價？,#no
2022/09/15,〈2022半導體展〉台積電：車用市場將比手機還大 車用晶片廠應做好計畫建庫存,#yes
2022/09/15,台積電開低走高 除息首日順利填息完封,#yes
2022/09/15,外資變心 台積電早盤面臨貼息窘境,#no
2022/09/18,〈台東強震〉台積電南科廠疏散員工 聯電少數機台重開機,#unknown
2022/09/19,台積電南科工業再生水廠正式啟用 明年底每日供應2萬噸,#yes
2022/09/21,台積電運動會連三年停辦 逾8億元大紅包照發,#no
2022/09/21,〈輝達GTC大會〉輝達推出具AI功能新顯卡 攜台積電合作生產,#yes
2022/09/22,台積電高雄廠取得建照 按計畫今年動工,#yes
2022/09/22,台積電人資副總馬慧凡11月將退休 職務由何麗梅接掌,#unknown
2022/09/22,台積電市值跌破12兆元 9月以來蒸發近2兆元,#no
2022/09/23,美系外資唱衰下調目標價 台積電本周市值蒸發逾4400億元,#no
2022/09/26,台積電跳水 單日市值蒸發超過3000億元,#no
2022/09/27,蘋果也難受 台積電漲價喊卡 IP廠紅利退潮,#unknown
2022/09/30,〈台積電ESG〉今年技術論壇全球逾5500人參與 規模創新高,#yes
2022/09/30,〈台積電ESG〉推動供應商低碳管理 已捕捉二氧化碳500噸,#yes
2022/09/30,外資賣不停 台積電跳水跌至2年新低、市值摜破11兆元,#no
