date,title, Y/N
2022/10/01,台股匯雙殺、美光下修資本支出、台積電漲價喊卡 本周大事回顧,#no
2022/10/04,台積電建廠支撐需求 春源鋼構訂單能見度達一年,#no
2022/10/04,〈三星先進製程報捷〉與英特爾搶先揮軍2奈米以下先進製程 劍指台積電龍頭寶座,#no
2022/10/04,傳已拍板赴德設新廠 台積電：目前無具體決議,#no
2022/10/06,【盤中熱點】矽智財相較強勢，外資將台積電列為投資首選，有利指數止穩,#unknown
2022/10/07,台積電9月營收2082億元寫次高 Q3超標再創新高,#no
2022/10/10,台積電扮矽盾 張忠謀：保護台灣免於被中國攻擊,#unknown
2022/10/11,台積電今年第四度發綠債 總金額新台幣102億元,#no
2022/10/11,台積電今年第四度發綠債 總金額新台幣102億元,#no
2022/10/11,賣壓空襲 台積電爆量重挫7% 單日市值蒸發逾8000億元,#no
2022/10/11,賣壓空襲 台積電爆量重挫7% 單日市值蒸發逾8000億元,#no
2022/10/12,英特爾營運聚焦晶圓代工 從各面向進逼台積電,#no
2022/10/12,外資續砍台積電 連兩日提款266億元 減碼貨櫃、航空雙雄,#no
2022/10/12,台積電法說前夕外資不挺 連三賣大砍超過7萬張,#no
2022/10/12,台積電失守400元關卡 近兩日市值已蒸發1.1兆元,#no
2022/10/12,台積電失守400元 台股一度跌逾百點、摜破萬三,#no
2022/10/12,劍指台積電三星！英特爾推出內部代工模型,#no
2022/10/12,〈台股盤前〉擴大限空令PK台積電ADR續挫 大盤面臨萬三保衛戰,#no
2022/10/13,〈台積電法說〉費半挫逾百點 台積電ADR早盤遭拖累跌逾2%,#no
2022/10/13,〈台積電法說〉費半挫逾百點 台積電ADR早盤遭拖累跌逾2%,#no
2022/10/13,〈台積電法說〉下修今年資本支出、明年營運持續成長 一文看懂九大重點,#no
2022/10/13,〈台積電法說〉魏哲家：明年半導體業可能衰退 台積電將持續成長,#no
2022/10/13,〈台積電法說〉下修資本支出 陸行之：行業利空出盡的重要指標之一,#no
2022/10/13,〈台積電法說〉魏哲家：3奈米需求超越供給 明年將滿載生產,#no
2022/10/13,〈台積電法說〉南京廠依規劃進行 歐洲設廠不排除任何可能,#no
2022/10/13,台積電獲利依舊亮眼 法說釋出放緩訊號,#no
2022/10/13,〈台積電法說〉Q4營收估季增0.4% 與毛利率可望續創新高,#yes
2022/10/13,〈台積電法說〉7奈米稼動率下滑影響至明年上半年 高雄廠產能規劃同步調整,#no
2022/10/13,禁令效應外擴，台股神山台積電怎麼看？,#no
2022/10/13,〈台積電法說〉下調今年資本支出至360億美元 減幅約1成,#no
2022/10/13,〈台積電法說〉Q3毛利率衝破6成 每股賺10.83元再創高略優預期,#no
2022/10/13,【盤中熱點】金融無力航空墜機，台積獨撐指數，美半導體設備商下修財測，傳台積電獲美方豁免,#unknown
2022/10/13,〈美禁高階晶片輸中〉日經：台積電已獲美方一年出口許可 設備可運往南京廠,#no
2022/10/13,德媒：台積電考慮在德國設廠 10月派團考察,#no
