date,title, Y/N
2022/08/01,外資出脫台積電、三檔金融股 續回補新光金,#unknown
2022/08/01,台積電劉德音：中國若侵台 世界秩序將崩壞,#unknown
2022/08/01,楠梓產業園區將動土 台積電：高雄廠維持今年動工,#yes
2022/08/03,〈焦點股〉台積電股價持穩 晶圓代工族群逆勢走揚,#yes
2022/08/04,英特爾訂單遞延放緩3奈米擴產 台積電：按計劃進行,#no
2022/08/04,車廠高層致電急討25片晶圓 台積電魏哲家妙答,#unknown
2022/08/07,台積電7月營收、科技廠法說、稅收統計 本周大事預告,#yes
2022/08/08,〈觀察〉台積電建廠支撐需求 混凝土廠受打房政策衝擊小,#yes
2022/08/10,外資大力提款晶圓代工 台積電、聯電、力積電全遭調節,#unknown
2022/08/10,台積電7月營收1867億元 月增6%再創新高,#yes
2022/08/10,台積電Q2配息率僅30% 低配息成為這一件事的高代價,#no
2022/08/11,〈台股盤前要聞〉鴻海上調全年展望、台積電7月營收創高 今日必看財經新聞,#yes
2022/08/12,〈台股盤前〉台積電ADR逆揚 有利領大盤向季線靠攏,#yes
2022/08/15,日本貿易振興機構組團赴亞利桑那州 搶台積電、英特爾設廠商機,#unknown
2022/08/15,環團籲要用的電自己發 台積電：已訂100%再生能源長期目標,#yes
2022/08/16,台積電今年第五度發債 總金額156億元,#unknown
2022/08/16,美參議員馬基訪團曾會見談供應鏈 台積電：交流在美投資,#yes
2022/08/17,台積電3奈米如期量產，買台積電不如買受惠股，強茂缺料緩解、Tesla擴大下單，新投信低接進場,#yes
2022/08/23,SEMI攜手台積電慈善基金會 推動高職技術人才就業,#yes
2022/08/26,台積電將量產3奈米 市占率仍可望領先三星,#yes
2022/08/31,亞利桑那州長訪台傳會面 台積電：針對在美投資交流,#unknown
2022/08/31,〈台積電ESG〉啟動原物料包材減量行動 減碳1.2萬噸,#yes
2022/08/31,美國亞利桑納州長訪台 將與台積電高層會面,#yes
2022/08/31,美股連3黑，指數受壓抑，看大買小，台積電、蘋果救台股，受惠族群出列,#unknown
2022/08/31,〈台股盤前要聞〉台積電3奈米將量產、iPhone 14 Pro超廣角規格升級 今日必看財經新聞,#yes
