date,title, Y/N
2023/03/01,聯發科強拉近漲停 台積電首季財測難達標？,#no
2023/03/01,【量大強漲股整理】AI概念仍是最強主流!台積電利空不跌的原因為何?外資也許還買的不夠?,#yes
2023/03/02,〈台股盤前〉台積電 ADR上漲雖能激勵台股 專家：電子暫難成主流,#unknown
2023/03/03,台積電去年來自蘋果營收 首度衝破5000億元,#yes
2023/03/03,台積電去年員工平均薪資衝破300萬元 年增28.9%,#no
2023/03/03,不跟風股神拋售 Lazard將台積電ADR列入投資首選,#yes
2023/03/04,台積電今年預計招募逾6000人 碩士新進工程師年薪上看200萬元,#no
2023/03/05,工具機展、進出口統計、台積電/台塑四寶營收 本周大事預告,#unknown
2023/03/10,三星聘請台積電前研發大將林俊成 攻先進封裝,#no
2023/03/10,台積電2月營收1631億元 月減18%仍創歷年同期新高,#no
2023/03/12,台積電除息、金控超級法說、張忠謀談話 本周大事預告,#yes
2023/03/13,台積電去年Q4市占率攀至58.5% 再拉大與三星差距,#yes
2023/03/13,台積電4月維持例行調薪 幅度尚無法透露,#no
2023/03/15,台積電、大立光3/16除息 大盤估計蒸發27.89點,#no
2023/03/16,〈張忠謀開講〉揭露台積電創立初期政府態度 李國鼎是唯一相信他的人,#yes
2023/03/16,路透：台積電赴德設廠談判進入最後階段 聚焦政府補貼,#yes
2023/03/16,瑞信風暴再起 台積電除息首日早盤窘貼息,#no
2023/03/17,〈高通來台20周年〉首席COO：高通將是台積電美國廠4奈米首批客戶,#yes
2023/03/17,台積電今年首度發綠債 總金額193億元,#no
2023/03/17,〈高通來台20周年〉台積電侯永清：地緣政治增加的成本誰來負擔 是供應鏈的挑戰,#no
2023/03/17,台積電跳空開高一掃陰霾 除息第二天順利完成填息,#yes
