date,point
2022/01/05,-1.0
2022/01/10,-1.0
2022/02/11,-1.0
2022/03/03,1.0
2022/03/09,-1.0
2022/03/10,-1.0
2022/03/14,-1.0
2022/03/25,0.5
2022/03/28,1.0
2022/03/31,-1.0
2022/04/01,-1.0
2022/04/11,-1.0
2022/04/28,-1.0
2022/04/29,-1.0
2022/05/10,-1.0
2022/05/26,1.0
2022/06/09,-1.0
2022/06/29,-1.0
2022/07/08,-1.0
2022/07/20,-1.0
2022/08/09,1.0
2022/08/19,-1.0
2022/09/12,0.0
2022/09/22,-1.0
2022/10/11,-1.0
2022/11/09,1.0
2022/11/15,-1.0
2022/12/09,-1.0
2023/01/10,-1.0
2023/03/09,-1.0
2023/04/11,-1.0
2023/04/19,1.0
2023/05/09,-1.0
