date,point
2022/01/06,0.0
2022/02/10,0.0
2022/02/12,0.0
2022/02/14,-1.0
2022/02/15,0.0
2022/02/18,0.0
2022/03/08,0.0
2022/03/10,-1.0
2022/03/14,-0.5
2022/03/18,-1.0
2022/03/25,-1.0
2022/03/31,1.0
2023/04/06,-1.0
2023/04/07,-1.0
2023/04/12,1.0
2023/04/17,-1.0
2023/04/26,-0.5
2022/05/06,-1.0
2022/05/25,0.0
2022/05/31,0.0
2022/06/02,0.0
2022/06/09,0.0
2022/06/10,0.0
2022/06/15,-1.0
2022/06/20,0.0
2022/07/05,-1.0
2022/07/18,0.0
2022/07/19,0.0
2022/07/29,-1.0
2022/08/03,1.0
2022/08/10,-1.0
2022/09/08,-1.0
2022/09/20,0.0
2022/09/21,0.0
2022/09/23,-1.0
2022/10/07,-1.0
2022/10/25,-1.0
2022/10/26,-1.0
2022/10/27,0.0
2022/11/02,-0.5
2022/11/22,0.0
2022/11/23,0.0
2022/11/24,0.0
2022/12/02,0.0
2022/12/09,0.0
2022/12/12,-1.0
2022/12/15,0.0
2023/01/07,0.0
2023/01/10,0.0
2023/01/17,-1.0
2023/02/07,-0.5
2023/02/10,0.0
2023/02/16,-1.0
2023/02/20,-1.0
2023/02/22,-1.0
2023/03/02,-1.0
2023/03/10,-0.5
2023/03/13,-1.0
2023/03/14,0.0
2023/03/30,-1.0
2023/05/07,-1.0
2023/05/09,-1.0
2023/05/10,1.0
2023/05/11,0.0
2023/05/24,1.0
2023/05/26,0.0
2023/05/31,1.0
2023/06/01,-1.0
2023/06/09,0.0
2023/06/12,0.0
2023/06/14,-1.0
2023/06/17,-1.0
2023/06/21,-1.0
2023/06/28,0.0
2023/06/29,-1.0
