date,point
2022/01/13,-1.0
2022/01/17,1.0
2022/01/25,-1.0
2022/02/16,-1.0
2022/03/03,-1.0
2022/03/05,-1.0
2022/03/23,-1.0
2022/04/11,-0.5
2022/04/12,-1.0
2022/04/22,-1.0
2022/05/11,-1.0
2022/05/20,-1.0
2022/05/26,-1.0
2022/06/14,0.0
2022/06/15,-1.0
2022/06/21,-1.0
2022/06/28,-1.0
2022/06/30,-1.0
2022/07/01,-1.0
2022/07/04,-1.0
2022/07/12,-1.0
2022/07/27,0.0
2022/08/01,-1.0
2022/08/19,-1.0
2022/08/26,-1.0
2022/09/12,0.0
2022/09/14,-1.0
2022/09/15,-1.0
2022/09/19,-1.0
2022/09/29,-1.0
2022/10/11,-1.0
2022/11/08,-1.0
2022/11/10,-0.33
2022/11/14,-1.0
2022/11/16,-1.0
2022/11/21,-1.0
2022/11/22,0.0
2022/12/01,-1.0
2022/12/15,1.0
2022/12/16,1.0
2022/12/20,0.0
2022/12/21,0.0
2022/12/28,-1.0
2023/01/10,-1.0
2023/01/14,0.0
2023/01/23,1.0
2023/02/07,-1.0
2023/02/08,-1.0
2023/02/13,-1.0
2023/02/15,-1.0
2023/02/22,-0.67
2023/02/23,-1.0
2023/02/24,-1.0
2023/02/28,-1.0
2023/03/01,0.0
2023/03/04,0.0
2023/03/14,-1.0
2023/03/24,-1.0
2023/04/19,-1.0
2023/04/28,-1.0
2023/05/02,-1.0
2023/05/19,-1.0
2023/06/01,1.0
2023/06/19,-1.0
2023/06/26,0.0
