date,point
2022/01/02,-1.0
2022/01/03,-0.6
2022/01/04,0.0
2022/01/05,-1.0
2022/01/06,-1.0
2022/01/09,-1.0
2022/01/10,0.33
2022/01/11,0.0
2022/01/12,-1.0
2022/01/13,-0.67
2022/01/14,-0.6
2022/01/15,0.0
2022/01/16,1.0
2022/01/17,-1.0
2022/01/18,-0.5
2022/01/19,-1.0
2022/01/20,-1.0
2022/01/22,-1.0
2022/01/24,-1.0
2022/01/25,-1.0
2022/02/02,-1.0
2022/02/05,-1.0
2022/02/06,-1.0
2022/02/07,0.0
2022/02/08,0.0
2022/02/09,1.0
2022/02/10,-1.0
2022/02/11,-1.0
2022/02/12,0.0
2022/02/14,0.0
2022/02/15,0.0
2022/02/16,-0.33
2022/02/17,-1.0
2022/02/18,-1.0
2022/02/19,-1.0
2022/02/20,-1.0
2022/02/21,-1.0
2022/02/22,-1.0
2022/02/23,-0.67
2022/02/24,0.0
2022/02/25,-1.0
2022/02/26,-1.0
2022/02/27,-1.0
2022/03/01,0.0
2022/03/02,0.0
2022/03/03,-0.25
2022/03/04,-1.0
2022/03/05,1.0
2022/03/06,0.0
2022/03/07,-1.0
2022/03/08,1.0
2022/03/09,0.33
2022/03/10,0.29
2022/03/11,0.25
2022/03/12,0.0
2022/03/14,1.0
2022/03/15,1.0
2022/03/16,-1.0
2022/03/17,1.0
2022/03/18,1.0
2022/03/20,1.0
2022/03/23,1.0
2022/03/24,0.0
2022/03/25,0.0
2022/03/27,1.0
2022/03/28,1.0
2022/03/29,1.0
2022/03/30,0.0
2022/03/31,0.5
2022/04/01,-1.0
2022/04/03,-0.67
2022/04/05,1.0
2022/04/06,-0.5
2022/04/07,-1.0
2022/04/08,1.0
2022/04/09,-1.0
2022/04/10,0.0
2022/04/12,0.2
2022/04/14,0.75
2022/04/15,-0.14
2022/04/16,0.0
2022/04/17,1.0
2022/04/18,0.0
2022/04/19,-0.33
2022/04/20,0.33
2022/04/22,-1.0
2022/04/25,-0.5
2022/04/27,-1.0
2022/04/28,-1.0
2022/04/29,0.5
2022/04/30,-1.0
2022/05/05,1.0
2022/05/08,0.0
2022/05/09,0.0
2022/05/10,0.33
2022/05/11,0.5
2022/05/14,1.0
2022/05/17,1.0
2022/05/19,0.0
2022/05/20,0.0
2022/05/21,1.0
2022/05/24,1.0
2022/05/26,1.0
2022/05/30,1.0
2022/05/31,1.0
2022/06/04,-1.0
2022/06/05,0.25
2022/06/07,0.0
2022/06/08,0.8
2022/06/09,1.0
2022/06/10,0.5
2022/06/12,0.5
2022/06/13,-1.0
2022/06/15,-0.5
2022/06/16,0.2
2022/06/17,0.33
2022/06/18,0.0
2022/06/20,0.5
2022/06/23,0.0
2022/06/24,1.0
2022/06/27,1.0
2022/06/29,-0.67
2022/06/30,-0.14
2022/07/01,-1.0
2022/07/02,-1.0
2022/07/03,-0.67
2022/07/04,-0.5
2022/07/05,0.0
2022/07/06,1.0
2022/07/08,1.0
2022/07/12,0.0
2022/07/13,1.0
2022/07/14,0.33
2022/07/15,0.75
2022/07/18,1.0
2022/07/19,0.33
2022/07/20,1.0
2022/07/21,0.0
2022/07/22,1.0
2022/07/25,1.0
2022/07/26,0.0
2022/07/29,0.5
2022/08/01,0.33
2022/08/03,1.0
2022/08/04,-0.5
2022/08/07,1.0
2022/08/08,1.0
2022/08/10,0.0
2022/08/11,1.0
2022/08/12,1.0
2022/08/15,0.5
2022/08/16,0.5
2022/08/17,1.0
2022/08/23,1.0
2022/08/26,1.0
2022/08/31,0.6
2022/09/01,-1.0
2022/09/02,1.0
2022/09/03,-0.5
2022/09/06,0.0
2022/09/07,-0.5
2022/09/08,0.33
2022/09/09,0.0
2022/09/12,1.0
2022/09/13,1.0
2022/09/14,0.25
2022/09/15,0.33
2022/09/18,0.0
2022/09/19,1.0
2022/09/21,0.0
2022/09/22,0.0
2022/09/23,-1.0
2022/09/26,-1.0
2022/09/27,0.0
2022/09/30,0.33
2022/10/01,-1.0
2022/10/04,-1.0
2022/10/06,0.0
2022/10/07,-1.0
2022/10/10,0.0
2022/10/11,-1.0
2022/10/12,-1.0
2022/10/13,-0.81
2022/10/14,-1.0
2022/10/15,-1.0
2022/10/16,-1.0
2022/10/17,-1.0
2022/10/18,-1.0
2022/10/19,-0.67
2022/10/20,-1.0
2022/10/21,-1.0
2022/10/22,-1.0
2022/10/23,-1.0
2022/10/24,-0.83
2022/10/25,-0.67
2022/10/26,-1.0
2022/10/27,-0.33
2022/10/28,-1.0
2022/10/31,-0.17
2022/11/01,0.5
2022/11/03,-1.0
2022/11/04,-1.0
2022/11/06,1.0
2022/11/07,-1.0
2022/11/08,-1.0
2022/11/09,-1.0
2022/11/10,-0.33
2022/11/11,-0.2
2022/11/12,-1.0
2022/11/13,-1.0
2022/11/15,-0.33
