date,point
2022/01/05,-0.33
2022/01/10,-1.0
2022/01/11,-1.0
2022/01/19,-1.0
2022/01/20,1.0
2022/01/25,-1.0
2022/01/26,-1.0
2022/01/31,1.0
2022/02/14,-1.0
2022/02/17,-1.0
2022/02/23,-1.0
2022/03/03,0.0
2022/03/10,-1.0
2022/03/11,-1.0
2022/03/15,-1.0
2022/03/22,-1.0
2022/03/24,-1.0
2022/03/29,-1.0
2022/04/07,-1.0
2022/04/11,-1.0
2022/04/19,-1.0
2022/04/22,0.0
2022/04/30,0.0
2022/05/03,-1.0
2022/05/04,-1.0
2022/05/10,-1.0
2022/05/11,-1.0
2022/05/15,-1.0
2022/05/18,-1.0
2022/05/27,-1.0
2022/06/10,-1.0
2022/06/15,-1.0
2022/06/17,-1.0
2022/06/23,-1.0
2022/06/28,-1.0
2022/06/29,-1.0
2022/07/05,-1.0
2022/07/08,-1.0
2022/07/11,-1.0
2022/07/14,0.0
2022/07/19,-1.0
2022/07/20,-1.0
2022/07/21,-1.0
2022/07/29,-1.0
2022/08/01,0.0
2022/08/02,-1.0
2022/08/10,1.0
2022/08/12,1.0
2022/08/14,-1.0
2022/09/12,-1.0
2022/09/14,-1.0
2022/09/16,1.0
2022/09/19,-1.0
2022/09/23,-1.0
2022/09/24,0.33
2022/09/28,0.0
2022/10/01,-1.0
2022/10/04,0.5
2022/10/05,-1.0
2022/10/07,-1.0
2022/10/11,1.0
2022/10/27,-1.0
2022/11/01,-1.0
2022/11/10,-1.0
2022/11/15,-1.0
2022/11/21,0.0
2022/11/25,0.0
2022/12/05,0.0
2022/12/08,-1.0
2022/12/09,1.0
2022/12/12,-1.0
2022/12/14,-0.5
2022/12/15,0.5
2022/12/16,-1.0
2022/12/19,-1.0
2022/12/21,0.0
2022/12/27,0.0
2022/12/28,1.0
2023/01/03,-1.0
2023/01/09,1.0
2023/01/10,-1.0
2023/01/11,-1.0
2023/01/13,1.0
2023/01/25,0.0
2023/01/31,-1.0
2023/02/01,-1.0
2023/02/02,-1.0
2023/02/03,-1.0
2023/02/04,-1.0
2023/02/08,-1.0
2023/02/10,-1.0
2023/02/14,-0.5
2023/02/16,-1.0
2023/02/18,1.0
2023/02/20,-1.0
2023/02/21,-1.0
2023/02/24,-1.0
2023/03/07,1.0
2023/03/10,-1.0
2023/03/14,1.0
2023/03/20,-1.0
2023/03/21,-1.0
2023/03/23,-1.0
2023/03/24,-1.0
2023/03/28,-1.0
2023/03/30,-1.0
2023/03/31,-1.0
2023/04/11,-1.0
2023/04/12,-1.0
2023/04/24,-1.0
2023/04/28,-1.0
2023/05/03,0.0
2023/05/05,0.0
2023/05/08,-1.0
2023/05/09,-1.0
2023/05/10,0.0
2023/05/25,-1.0
2023/05/26,-1.0
2023/06/02,-1.0
2023/06/09,-1.0
2023/06/15,-1.0
2023/06/30,-1.0
