date,title, Y/N
2023/02/07,〈土耳其強震〉台泥合資3座水泥廠受斷電影響 廠區人員均安,#no
2023/02/08,〈土耳其強震〉台泥：對財務無重大影響 空運百套急救箱助賑災,#no
2023/02/08,〈土耳其強震〉台泥：對財務無重大影響 空運百套急救箱助賑災,#no
2023/02/13,台泥再買回8400張庫藏股 執行率86%,#no
2023/02/13,台泥ESG邁大步 首獲2023 S&P Global DJSI永續年鑑雙徽章,#no
2023/02/15,台泥2萬張庫藏股提前執行完畢 每股買回均價36.62元,#no
2023/02/22,〈土耳其強震〉台泥總座：全力協助當地重建 「TCC can help」,#unknown
2023/02/22,〈台泥EV布局〉串聯Audi、Volvo等30個充電站點 攜8企業團體打造全台減碳網絡,#no
2023/02/22,〈台泥EV布局〉總座揭櫫五大面向發展 2025年南歐建萬個充電樁,#no
2023/02/23,外資大買台泥2.2萬張同步加碼晶圓雙雄 調節面板雙虎11萬張,#no
2023/02/23,外資大買台泥2.2萬張同步加碼晶圓雙雄 調節面板雙虎11萬張,#no
2023/02/24,台泥去年Q4純益季增65% 全年EPS 0.74元,#no
2023/02/28,台泥重慶廠火災停工一周 不影響既有發貨,#no
