date,point
2022/01/04,1.0
2022/01/07,0.0
2022/01/10,1.0
2022/01/12,1.0
2022/01/16,-1.0
2022/01/17,-1.0
2022/01/18,0.0
2022/01/24,-1.0
2022/02/07,-1.0
2022/02/24,-1.0
2022/03/01,0.0
2022/03/03,-1.0
2022/03/08,-1.0
2022/03/09,-1.0
2022/03/11,-1.0
2022/03/12,-1.0
2023/04/11,-1.0
2023/04/12,-1.0
2023/04/15,-1.0
2023/04/27,0.0
2022/06/10,-1.0
2022/06/17,-1.0
2022/06/24,-1.0
2022/07/07,1.0
2022/07/11,-1.0
2022/07/12,1.0
2022/07/13,1.0
2022/08/04,1.0
2022/08/10,-1.0
2022/08/15,-1.0
2022/08/19,-0.33
2022/09/05,0.0
2022/09/12,-1.0
2022/09/20,-1.0
2022/09/30,-1.0
2022/11/10,-1.0
2022/11/11,-1.0
2022/11/15,0.0
2022/11/16,-1.0
2022/11/25,1.0
2022/12/05,0.0
2022/12/09,-1.0
2022/12/12,-1.0
2022/12/14,-1.0
2022/12/15,-1.0
2022/12/22,0.0
2023/01/06,1.0
2023/01/10,-1.0
2023/02/01,-1.0
2023/02/03,-1.0
2023/02/10,1.0
2023/03/10,-1.0
2023/03/16,-1.0
2023/03/25,0.0
2023/05/10,-1.0
2023/05/18,0.0
2023/05/19,-1.0
2023/06/09,0.0
2023/06/12,-1.0
2023/06/28,0.0
