date,title, Y/N
2022/09/12,中華電穩居獲利雙冠王 前8月每股賺3.21元,#no
2022/09/14,〈電信頻譜超標〉中華電：應遵循法規 超標頻譜應繳回、重新競標,#no
2022/09/14,〈電信頻譜超標〉中華電：應遵循法規 超標頻譜應繳回、重新競標,#no
2022/09/16,〈蘋果新機開賣〉電信商預購量翻倍 中華電目標年底前銷售破20萬支 遠傳跟進,#yes
2022/09/19,〈電信頻譜超標〉中華電送合併案意見書 可重新整合救難使用,#no
2022/09/23,918花東強震 中華電信災後搶修電信網路,#no
2022/09/24,〈中華電衝ESG〉2040年總投資金額近500億元 擴大採購綠電、千輛工程車電動化,#yes
2022/09/24,〈中華電衝ESG〉攜手供應商舉辦全國淨灘日 逾2800人響應,#no
2022/09/24,〈電信頻譜超標〉中華電董座：「台台」合併提供更多頻寬 不應有不合法行為,#yes
2022/09/28,中華電攜部桃打造5G智慧醫療 未來將輸出東南亞,#yes
2022/09/28,〈電信頻譜超標〉台台併聽證會明登場 中華電重申：超頻繳回整合釋出,#no
